Event index,Peak Time (ms),Amplitude (nA),Baseline,Start time (ms),End time (ms),Duration (ms),Rise (ms),Decay (ms),Event start index,Event end index,peak index,Baseline start index,Baseline end index,quality score
1,1582.4,0.0838871,-19.560205,1582.368,1582.4720000000002,0.10399999999988196,0.032000000000032,0.07199999999984996,395592,395618,395600,395428,395553,0.3344423519771266
2,1950.6,0.07587814,-19.546093,1950.576,1950.644,0.06799999999995697,0.024000000000024,0.04399999999993298,487644,487661,487650,487500,487625,0.21829831125356602
3,2324.848,0.07534218,-19.551660000000002,2324.744,2325.092,0.3479999999997929,0.10399999999988196,0.2439999999999109,581186,581273,581212,581006,581131,0.21080670704702603
4,2385.3360000000002,0.083984375,-19.548095999999997,2385.276,2385.54,0.264000000000042,0.059999999999948976,0.20400000000009302,596319,596385,596334,596181,596306,0.3351172760161255
5,3547.3320000000003,0.08208084,-19.552296,3547.312,3547.3920000000007,0.08000000000008001,0.020000000000131024,0.059999999999948976,886828,886848,886833,886683,886808,0.3081564240211353
6,8506.831999999999,1.3511715,-19.521338,8506.704,8506.896,0.192000000000192,0.128000000000128,0.064000000000064,2126676,2126724,2126708,2126458,2126583,9.699324077334358
7,14823.376,0.12851524,-19.470556,14823.3,14823.42,0.1199999999990098,0.07599999999996497,0.0439999999990448,3705825,3705855,3705844,3705681,3705806,0.931258226015923
8,17586.016,0.16811562,-19.443018,17585.988,17586.068,0.0800000000005241,0.02800000000036107,0.052000000000163034,4396497,4396517,4396504,4396351,4396476,1.3954419899342883
9,20119.836,0.1003418,-19.4729,20119.811999999998,20119.896,0.08400000000108321,0.02399999999980196,0.06000000000128125,5029953,5029974,5029959,5029809,5029934,0.5633300265158033
10,25058.444,1.3154793,-19.418507,25058.404,25058.5,0.09599999999920784,0.039999999998485684,0.05600000000072214,6264601,6264625,6264611,6264449,6264574,10.015351376822345
11,26323.288,0.06977463,-19.417920000000002,26323.267999999996,26323.327999999998,0.06000000000128125,0.019999999999242846,0.040000000002038405,6580817,6580832,6580822,6580672,6580797,0.12797291537014202
12,32409.108,0.06962967,-19.460499,32409.072,32409.228,0.15599999999693634,0.035999999994373866,0.1200000000025625,8102268,8102307,8102277,8102113,8102238,0.1258477586029729
13,32917.872,0.08803749,-19.423975,32917.840000000004,32917.92,0.07999999999697137,0.03199999999736747,0.04799999999960392,8229460,8229480,8229468,8229310,8229435,0.3925552372211137
14,35859.68,0.32822227,-19.462744,35859.636,35859.744,0.10799999999733244,0.04399999999549209,0.06400000000184036,8964909,8964936,8964920,8964758,8964883,2.880288682563944
15,41229.956,1.0013676,-19.452295,41229.876,41230.016,0.14000000000180535,0.08000000000407681,0.05999999999772854,10307469,10307504,10307489,10307312,10307437,8.412521586522104
16,42072.096,0.07773399,-19.48081,42072.068,42072.144,0.07599999999996497,0.027999999993255642,0.048000000006709335,10518017,10518036,10518024,10517874,10517999,0.24531163660899408
17,44161.38799999999,0.06953049,-19.454296,44161.26,44161.432,0.1719999999991728,0.1279999999965753,0.04400000000259752,11040315,11040358,11040347,11040197,11040322,0.12442942020465352
18,47381.664,0.092479706,-19.477245,47381.587999999996,47381.755999999994,0.16799999999506102,0.07599999999996497,0.09199999999509599,11845397,11845439,11845416,11845242,11845367,0.4542280751126037
19,49411.6,0.3934574,-19.473047,49411.572,49411.648,0.07599999999996497,0.02800000000036107,0.04799999999960392,12352893,12352912,12352900,12352750,12352875,3.4384675135064287
20,49868.992,0.0711422,-19.480322,49868.96400000001,49869.056,0.09200000000220143,0.02800000000036107,0.06400000000184036,12467241,12467264,12467248,12467098,12467223,0.14837361289496945
21,52274.184,0.106054306,-19.478613,52274.144,52274.244000000006,0.09999999999621424,0.039999999998485684,0.05999999999772854,13068536,13068561,13068546,13068376,13068501,0.6433396534648073
22,53699.636,0.28061485,-19.45786,53699.592,53699.724,0.13200000000068712,0.04400000000259752,0.0879999999980896,13424898,13424931,13424909,13424739,13424864,2.5324490385558676
23,54557.44,0.15268517,-19.452002,54557.407999999996,54557.48,0.07200000000295859,0.032000000004472895,0.039999999998485684,13639352,13639370,13639360,13639203,13639328,1.2042275889732337
24,60671.34,0.07075119,-19.425,60671.316,60671.496,0.18000000000029104,0.024000000003354668,0.15599999999693634,15167829,15167874,15167835,15167679,15167804,0.14281685139338407
25,60868.755999999994,0.13295937,-19.420069,60868.704000000005,60868.795999999995,0.09200000000220143,0.05200000000371574,0.039999999998485684,15217176,15217199,15217189,15217035,15217160,0.9802783758640519
26,71305.95999999999,0.07299805,-19.360107,71305.944,71306.136,0.1919999999984157,0.016000000002236447,0.1759999999961792,17826486,17826534,17826490,17826340,17826465,0.17609742586324856
27,73772.58399999999,0.06806564,-19.37959,73772.416,73772.664,0.2479999999991378,0.16800000000216642,0.07999999999697137,18443104,18443166,18443146,18442896,18443021,0.10184523835490102
28,76891.128,1.4366207,-19.36875,76891.084,76891.18400000001,0.10000000000331966,0.04400000000259752,0.05600000000072214,19222771,19222796,19222782,19222613,19222738,9.741285883265418
29,82848.04400000001,0.15131760000000002,-19.334667,82847.976,82848.148,0.1719999999920674,0.06799999999884676,0.10399999999322064,20711994,20712037,20712011,20711848,20711973,1.1953017426176729
30,89851.696,0.11577225,-19.311329,89851.56800000001,89851.808,0.2399999999909141,0.12799999998946987,0.11200000000144428,22462892,22462952,22462924,22462774,22462899,0.7721973900741865
31,95137.644,0.07841873,-19.33501,95137.604,95137.684,0.07999999999697137,0.039999999998485684,0.039999999998485684,23784401,23784421,23784411,23784254,23784379,0.2547730767551181
32,96167.656,0.13168907,-19.308935,96167.632,96167.70800000001,0.07599999999285956,0.023999999996249244,0.05199999999661031,24041908,24041927,24041914,24041764,24041889,0.9690892507467415
33,104786.76,0.076660156,-19.327148,104786.636,104786.81199999999,0.1759999999961792,0.1239999999995689,0.05199999999661031,26196659,26196703,26196690,26196489,26196614,0.2294581651975649
34,105545.476,1.4439945,-19.254053,105545.20800000001,105545.6,0.39200000000505497,0.2680000000054861,0.1239999999995689,26386302,26386400,26386369,26386192,26386317,9.259407443794412
35,107537.972,0.07265663,-19.310938,107537.944,107538.03199999999,0.08800000000519502,0.02800000000036107,0.060000000004833964,26884486,26884508,26884493,26884336,26884461,0.17130289249793887
36,109565.496,0.08569336,-19.226318,109565.468,109565.608,0.14000000000180535,0.02800000000036107,0.11200000000144428,27391367,27391402,27391374,27391213,27391338,0.3597126703948505
37,121002.324,0.08032226599999999,-19.318604,121002.304,121002.364,0.060000000004833964,0.020000000006348276,0.039999999998485684,30250576,30250591,30250581,30250431,30250556,0.2824033965394189
38,129820.536,0.07006836,-19.283935999999997,129820.51199999999,129820.59599999999,0.08399999998687235,0.023999999996249244,0.05999999999062311,32455128,32455149,32455134,32454976,32455101,0.13239503301829963
39,131148.54,0.20424843,-19.271631,131148.516,131148.58800000002,0.07199999998874773,0.023999999996249244,0.04799999999249849,32787129,32787147,32787135,32786983,32787108,1.796134395656187
40,133364.82799999998,0.078271866,-19.170069,133364.684,133364.88,0.19600000001673834,0.14400000000591714,0.05200000001082117,33341171,33341220,33341207,33341020,33341145,0.2530024501390879
41,140294.46,0.10869217,-19.243214000000002,140294.384,140294.49599999998,0.11200000000144428,0.07600000000707041,0.035999999994373866,35073596,35073624,35073615,35073464,35073589,0.6782523561144385
42,141878.41199999998,0.07514572,-19.270702,141878.388,141878.54,0.15199999998571911,0.023999999996249244,0.12799999998946987,35469597,35469635,35469603,35469453,35469578,0.20813015045801772
43,146960.092,0.07929611,-19.256542,146960.068,146960.188,0.11999999998124622,0.023999999996249244,0.09599999998499698,36740017,36740047,36740023,36739873,36739998,0.2675095508438526
44,156879.40399999998,0.46494102,-19.28208,156879.36800000002,156879.456,0.08800000000519502,0.035999999994373866,0.05200000001082117,39219842,39219864,39219851,39219687,39219812,4.076606882895454
45,160643.264,0.25869179999999997,-19.28335,160643.232,160643.316,0.08400000001529406,0.032000000004472895,0.05200000001082117,40160808,40160829,40160816,40160659,40160784,2.3517816393543165
46,163579.232,0.12163162,-19.243945999999998,163579.13199999998,163579.30000000002,0.16800000000216642,0.10000000000331966,0.06799999999884676,40894783,40894825,40894808,40894589,40894714,0.8505850719391629
47,164977.63199999998,0.11040115,-19.287647,164977.568,164977.696,0.12799999998946987,0.06400000000894579,0.06399999998052408,41244392,41244424,41244408,41244223,41244348,0.6994580279976328
48,166939.076,0.17495155,-19.272852,166939.048,166939.128,0.07999999999697137,0.028000000014571924,0.051999999982399465,41734762,41734782,41734769,41734613,41734738,1.4581599161871712
49,171768.772,0.09150314,-19.232128,171768.712,171768.80800000002,0.09599999998499698,0.05999999999062311,0.035999999994373866,42942178,42942202,42942193,42942043,42942168,0.4412684636101575
50,173892.16,0.15112305,-19.255126999999998,173892.13199999998,173892.204,0.07199999998874773,0.02799999998615021,0.04400000000259752,43473033,43473051,43473040,43472886,43473011,1.201947628468706
51,179249.112,0.0735836,-19.256933,179249.08000000005,179249.15600000005,0.07600000000707041,0.032000000004472895,0.04400000000259752,44812270,44812289,44812278,44812126,44812251,0.18483218688371073
52,188952.208,0.30273438,-19.290771,188952.172,188952.28,0.1080000000115433,0.035999999994373866,0.07200000001716944,47238043,47238070,47238052,47237900,47238025,2.7412011814678805
53,189269.004,0.068359375,-19.306639999999998,189268.952,189269.08,0.12800000001789158,0.05200000001082117,0.07600000000707041,47317238,47317270,47317251,47317077,47317202,0.10633471027756664
54,199858.764,0.31147385,-19.317822,199858.72,199858.824,0.10400000002164234,0.04400000000259752,0.060000000019044826,49964680,49964706,49964691,49964519,49964644,2.746635383808924
55,202446.672,0.21889687,-19.310694,202446.64399999997,202446.74,0.09599999998499698,0.02799999998615021,0.06799999999884676,50611661,50611685,50611668,50611514,50611639,1.955963328582701
56,209857.0,0.07290077,-19.32339,209856.96,209857.044,0.08400000001529406,0.04000000001269655,0.04400000000259752,52464240,52464261,52464250,52464085,52464210,0.17483061158460841
57,211765.544,0.23456955,-19.301952,211765.492,211765.62,0.12799999998946987,0.051999999982399465,0.07600000000707041,52941373,52941405,52941386,52941201,52941326,2.0948243081451716
58,215045.09600000002,0.09726524,-19.298925,215044.97199999998,215045.24,0.2679999999770644,0.1239999999995689,0.14399999997749546,53761243,53761310,53761274,53761116,53761241,0.5206960145262582
59,221050.31600000002,0.121679306,-19.305029,221050.22,221050.388,0.16800000000216642,0.09599999998499698,0.07200000001716944,55262555,55262597,55262579,55262428,55262553,0.8463720927508986
60,222240.344,0.13969803,-19.304737,222240.28399999999,222240.40399999998,0.11999999998124622,0.05999999999062311,0.05999999999062311,55560071,55560101,55560086,55559895,55560020,1.065235485494005
61,223501.092,0.38681602,-19.30161,223501.02800000002,223501.188,0.15999999999394274,0.06400000000894579,0.09599999998499698,55875257,55875297,55875273,55875082,55875207,3.440212478549681
62,225972.336,0.07099533,-19.284863,225972.264,225972.408,0.14400000000591714,0.07199999998874773,0.07200000001716944,56493066,56493102,56493084,56492916,56493041,0.14643099831941953
63,230919.14399999997,0.7759285,-19.257374,230919.016,230919.2,0.18399999999019198,0.12799999998946987,0.05600000000072214,57729754,57729800,57729786,57729636,57729761,6.7433131493567195
64,235499.08800000002,1.0249023000000002,-19.33545,235499.048,235499.14399999997,0.09600000001341867,0.04000000001269655,0.05600000000072214,58874762,58874786,58874772,58874609,58874734,8.193849943732575
65,237953.108,0.07109451,-19.309376,237953.08399999997,237953.22,0.13599999999769352,0.023999999996249244,0.11200000000144428,59488271,59488305,59488277,59488122,59488247,0.1477997224146864
66,241905.776,0.07202148400000001,-19.3042,241905.652,241905.82,0.16800000000216642,0.1240000000279906,0.043999999974175814,60476413,60476455,60476444,60476272,60476397,0.16173973236064423
67,245543.148,0.123096466,-19.269825,245543.116,245543.216,0.10000000000331966,0.032000000004472895,0.06799999999884676,61385779,61385804,61385787,61385637,61385762,0.8613077689635272
68,251391.64,0.09697342,-19.280323000000003,251391.616,251391.676,0.05999999999062311,0.023999999996249244,0.035999999994373866,62847904,62847919,62847910,62847760,62847885,0.5182918858209763
69,255003.24800000002,0.07626915,-19.247412,255003.112,255003.348,0.2360000000010132,0.13599999999769352,0.10000000000331966,63750778,63750837,63750812,63750630,63750755,0.22389020907455168
70,257556.328,0.3096676,-19.23667,257556.24800000002,257556.428,0.18000000000029104,0.08000000002539309,0.09999999997489796,64389062,64389107,64389082,64388884,64389009,2.772480105387601
71,262178.44800000003,0.07578087,-19.234716,262178.42,262178.50800000003,0.08800000000519502,0.028000000042993637,0.0599999999622014,65544605,65544627,65544612,65544454,65544579,0.21715669060815138
72,266784.61600000004,0.08930588,-19.272655,266784.588,266784.68,0.09199999999509599,0.02799999998615021,0.06400000000894579,66696147,66696170,66696154,66696002,66696127,0.41017508698227423
73,267211.916,0.07490158,-19.252148000000002,267211.852,267211.99600000004,0.14400000003433888,0.06400000000894579,0.08000000002539309,66802963,66802999,66802979,66802827,66802952,0.20471589095883747
74,272688.516,0.49746132,-19.22915,272688.464,272688.58,0.11599999999134525,0.051999999982399465,0.06400000000894579,68172116,68172145,68172129,68171946,68172071,4.2922587671648325
75,274903.28,0.2750492,-19.220361999999998,274903.244,274903.332,0.08800000000519502,0.036000000022795575,0.051999999982399465,68725811,68725833,68725820,68725659,68725784,2.5071794993983323
76,287121.708,0.14853477,-19.20371,287121.67600000004,287121.788,0.11200000000144428,0.032000000032894604,0.07999999996854967,71780419,71780447,71780427,71780270,71780395,1.1764521413687365
77,290685.54,0.18398476,-19.190332,290685.512,290685.58400000003,0.07200000004559115,0.028000000042993637,0.04400000000259752,72671378,72671396,72671385,72671234,72671359,1.5588637797475455
78,290885.772,0.08588791,-19.22041,290885.73600000003,290885.808,0.07199999998874773,0.03599999996595216,0.036000000022795575,72721434,72721452,72721443,72721290,72721415,0.36170950054474943
79,293029.78,0.23139572,-19.195019,293029.756,293029.84,0.08400000001529406,0.023999999996249244,0.060000000019044826,73257439,73257460,73257445,73257295,73257420,2.0835874293521583
80,294254.196,0.16997147,-19.206837,294254.124,294254.252,0.12800000001789158,0.07199999998874773,0.05600000002914385,73563531,73563563,73563549,73563299,73563424,1.4070620591020124
